Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households,County-equivalent_link
1821,Edwards,Texas,"$22,015","$43,839","$54,440","2,070",838,"https://en.wikipedia.org/wiki/Edwards_County,_Texas"
1822,Marion,Oregon,"$22,001","$46,885","$54,920","318,441","113,285","https://en.wikipedia.org/wiki/Marion_County,_Oregon"
1823,Henderson,Texas,"$21,995","$40,900","$48,789","78,636","29,732","https://en.wikipedia.org/wiki/Henderson_County,_Texas"
1824,Marion,Florida,"$21,992","$39,453","$46,538","333,503","134,002","https://en.wikipedia.org/wiki/Marion_County,_Florida"
1825,Meade,Kansas,"$21,990","$51,000","$54,093","4,486","1,714","https://en.wikipedia.org/wiki/Meade_County,_Kansas"
1826,Garfield,Utah,"$21,989","$45,357","$50,429","5,123","1,890","https://en.wikipedia.org/wiki/Garfield_County,_Utah"
1827,Stevens,Washington,"$21,986","$41,742","$52,410","43,513","17,684","https://en.wikipedia.org/wiki/Stevens_County,_Washington"
1828,Hockley,Texas,"$21,984","$50,565","$61,002","23,115","7,973","https://en.wikipedia.org/wiki/Hockley_County,_Texas"
1829,Randolph,Illinois,"$21,976","$47,427","$60,224","33,218","11,889","https://en.wikipedia.org/wiki/Randolph_County,_Illinois"
1830,Coles,Illinois,"$21,970","$37,040","$53,465","53,732","21,046","https://en.wikipedia.org/wiki/Coles_County,_Illinois"
1831,Tuscarawas,Ohio,"$21,966","$43,739","$52,496","92,528","36,149","https://en.wikipedia.org/wiki/Tuscarawas_County,_Ohio"
1832,Pittsburg,Oklahoma,"$21,966","$41,252","$50,907","45,417","18,456","https://en.wikipedia.org/wiki/Pittsburg_County,_Oklahoma"
1833,Buchanan,Missouri,"$21,961","$44,363","$57,326","89,419","33,331","https://en.wikipedia.org/wiki/Buchanan_County,_Missouri"
1834,Hamilton,Illinois,"$21,960","$38,417","$56,202","8,413","3,512","https://en.wikipedia.org/wiki/Hamilton_County,_Illinois"
1835,Alpena,Michigan,"$21,948","$38,016","$48,308","29,399","12,899","https://en.wikipedia.org/wiki/Alpena_County,_Michigan"
1836,Noble,Oklahoma,"$21,947","$44,842","$55,018","11,529","4,565","https://en.wikipedia.org/wiki/Noble_County,_Oklahoma"
1837,Rains,Texas,"$21,946","$44,478","$55,233","10,989","4,232","https://en.wikipedia.org/wiki/Rains_County,_Texas"
1838,Pickett,Tennessee,"$21,942","$35,184","$42,159","5,095","2,388","https://en.wikipedia.org/wiki/Pickett_County,_Tennessee"
1839,Ashland,Ohio,"$21,940","$46,548","$55,342","53,234","20,207","https://en.wikipedia.org/wiki/Ashland_County,_Ohio"
1840,Pueblo,Colorado,"$21,940","$41,777","$52,705","160,048","62,439","https://en.wikipedia.org/wiki/Pueblo_County,_Colorado"
1841,Sherman,Texas,"$21,936","$48,185","$58,977","3,048",949,"https://en.wikipedia.org/wiki/Sherman_County,_Texas"
1842,Marshall,Indiana,"$21,933","$45,709","$57,613","47,057","17,581","https://en.wikipedia.org/wiki/Marshall_County,_Indiana"
1843,Richland,Ohio,"$21,932","$41,835","$53,602","123,387","48,458","https://en.wikipedia.org/wiki/Richland_County,_Ohio"
1844,Brule,South Dakota,"$21,928","$45,284","$57,078","5,286","2,094","https://en.wikipedia.org/wiki/Brule_County,_South_Dakota"
1845,Henry,Alabama,"$21,924","$41,650","$54,725","17,308","7,001","https://en.wikipedia.org/wiki/Henry_County,_Alabama"
1846,Henry,Kentucky,"$21,923","$46,016","$53,557","15,425","6,008","https://en.wikipedia.org/wiki/Henry_County,_Kentucky"
1847,Van Zandt,Texas,"$21,920","$43,439","$51,707","52,515","19,064","https://en.wikipedia.org/wiki/Van_Zandt_County,_Texas"
1848,Ouachita,Louisiana,"$21,917","$38,955","$50,992","154,641","57,551","https://en.wikipedia.org/wiki/Ouachita_Parish,_Louisiana"
1849,Atchison,Kansas,"$21,909","$45,212","$56,271","16,839","6,216","https://en.wikipedia.org/wiki/Atchison_County,_Kansas"
1850,Marion,Missouri,"$21,909","$42,046","$52,844","28,804","11,203","https://en.wikipedia.org/wiki/Marion_County,_Missouri"
1851,Donley,Texas,"$21,904","$42,411","$57,961","3,620","1,280","https://en.wikipedia.org/wiki/Donley_County,_Texas"
1852,Lake of the Woods,Minnesota,"$21,903","$44,069","$49,816","3,998","1,665","https://en.wikipedia.org/wiki/Lake_of_the_Woods_County,_Minnesota"
1853,Clarion,Pennsylvania,"$21,902","$42,389","$54,945","39,720","15,776","https://en.wikipedia.org/wiki/Clarion_County,_Pennsylvania"
1854,Noble,Indiana,"$21,889","$47,117","$57,363","47,509","17,722","https://en.wikipedia.org/wiki/Noble_County,_Indiana"
1855,Spartanburg,South Carolina,"$21,889","$42,919","$52,662","286,789","107,350","https://en.wikipedia.org/wiki/Spartanburg_County,_South_Carolina"
1856,Lincoln,Oklahoma,"$21,888","$42,668","$53,457","34,238","13,256","https://en.wikipedia.org/wiki/Lincoln_County,_Oklahoma"
1857,Marion,Illinois,"$21,887","$41,010","$52,408","39,070","15,893","https://en.wikipedia.org/wiki/Marion_County,_Illinois"
1858,Clinton,Pennsylvania,"$21,875","$42,184","$55,818","39,501","15,067","https://en.wikipedia.org/wiki/Clinton_County,_Pennsylvania"
1859,Murray,Oklahoma,"$21,870","$44,151","$53,246","13,571","5,121","https://en.wikipedia.org/wiki/Murray_County,_Oklahoma"
1860,Douglas,Oregon,"$21,870","$40,524","$48,420","107,286","43,846","https://en.wikipedia.org/wiki/Douglas_County,_Oregon"
1861,Watauga,North Carolina,"$21,854","$34,293","$60,066","51,557","20,909","https://en.wikipedia.org/wiki/Watauga_County,_North_Carolina"
1862,Bear Lake,Idaho,"$21,853","$44,964","$49,145","5,957","2,442","https://en.wikipedia.org/wiki/Bear_Lake_County,_Idaho"
1863,Wirt,West Virginia,"$21,852","$34,702","$43,795","5,796","2,427","https://en.wikipedia.org/wiki/Wirt_County,_West_Virginia"
1864,Kit Carson,Colorado,"$21,850","$44,157","$57,538","8,189","3,046","https://en.wikipedia.org/wiki/Kit_Carson_County,_Colorado"
1865,Jackson,Wisconsin,"$21,849","$44,149","$51,692","20,506","8,112","https://en.wikipedia.org/wiki/Jackson_County,_Wisconsin"
1866,Brown,Nebraska,"$21,843","$33,647","$44,605","3,167","1,544","https://en.wikipedia.org/wiki/Brown_County,_Nebraska"
1867,Nye,Nevada,"$21,838","$39,876","$45,798","43,368","18,046","https://en.wikipedia.org/wiki/Nye_County,_Nevada"
1868,Raleigh,West Virginia,"$21,837","$40,758","$49,936","78,993","31,364","https://en.wikipedia.org/wiki/Raleigh_County,_West_Virginia"
1869,Warren,Illinois,"$21,832","$43,536","$53,887","17,762","6,972","https://en.wikipedia.org/wiki/Warren_County,_Illinois"
1870,Gasconade,Missouri,"$21,830","$41,392","$52,579","15,083","6,168","https://en.wikipedia.org/wiki/Gasconade_County,_Missouri"
1871,Camas,Idaho,"$21,830","$41,154","$46,587","1,267",464,"https://en.wikipedia.org/wiki/Camas_County,_Idaho"
1872,Grays Harbor,Washington,"$21,828","$42,405","$52,948","72,092","27,396","https://en.wikipedia.org/wiki/Grays_Harbor_County,_Washington"
1873,Greene,Pennsylvania,"$21,819","$44,388","$55,745","38,362","14,417","https://en.wikipedia.org/wiki/Greene_County,_Pennsylvania"
1874,Piscataquis,Maine,"$21,818","$36,646","$45,917","17,343","7,769","https://en.wikipedia.org/wiki/Piscataquis_County,_Maine"
1875,Floyd,Virginia,"$21,816","$44,618","$50,969","15,371","6,086","https://en.wikipedia.org/wiki/Floyd_County,_Virginia"
1876,Lincoln,Tennessee,"$21,811","$41,571","$51,120","33,411","13,438","https://en.wikipedia.org/wiki/Lincoln_County,_Tennessee"
1877,Madison,Kentucky,"$21,800","$42,312","$54,652","83,976","31,484","https://en.wikipedia.org/wiki/Madison_County,_Kentucky"
1878,Lee,Mississippi,"$21,799","$42,074","$54,292","83,964","31,898","https://en.wikipedia.org/wiki/Lee_County,_Mississippi"
1879,Wakulla,Florida,"$21,797","$52,691","$59,910","30,824","10,455","https://en.wikipedia.org/wiki/Wakulla_County,_Florida"
1880,White,Arkansas,"$21,793","$42,487","$51,449","77,767","29,632","https://en.wikipedia.org/wiki/White_County,_Arkansas"
1881,Josephine,Oregon,"$21,791","$37,733","$46,913","82,783","34,390","https://en.wikipedia.org/wiki/Josephine_County,_Oregon"
1882,Carroll,Ohio,"$21,783","$43,779","$52,336","28,689","11,107","https://en.wikipedia.org/wiki/Carroll_County,_Ohio"
1883,Chase,Kansas,"$21,775","$36,815","$56,346","2,763","1,149","https://en.wikipedia.org/wiki/Chase_County,_Kansas"
1884,Woodson,Kansas,"$21,774","$33,839","$47,159","3,278","1,517","https://en.wikipedia.org/wiki/Woodson_County,_Kansas"
1885,Galax City,Virginia,"$21,769","$30,325","$47,297","6,977","3,018","https://en.wikipedia.org/wiki/Galax,_Virginia"
1886,Lyon,Nevada,"$21,757","$46,137","$52,918","51,648","19,278","https://en.wikipedia.org/wiki/Lyon_County,_Nevada"
1887,Butte,South Dakota,"$21,744","$41,332","$58,006","10,197","4,015","https://en.wikipedia.org/wiki/Butte_County,_South_Dakota"
1888,Assumption,Louisiana,"$21,743","$46,116","$55,603","23,268","8,571","https://en.wikipedia.org/wiki/Assumption_Parish,_Louisiana"
1889,Crawford,Pennsylvania,"$21,741","$42,504","$53,099","88,173","34,831","https://en.wikipedia.org/wiki/Crawford_County,_Pennsylvania"
1890,Gray,Texas,"$21,738","$43,504","$54,327","22,777","8,388","https://en.wikipedia.org/wiki/Gray_County,_Texas"
1891,Chouteau,Montana,"$21,737","$40,070","$50,111","5,827","2,228","https://en.wikipedia.org/wiki/Chouteau_County,_Montana"
1892,Stone,Missouri,"$21,733","$40,850","$49,527","31,817","13,320","https://en.wikipedia.org/wiki/Stone_County,_Missouri"
1893,Van Buren,Michigan,"$21,732","$45,129","$54,472","75,897","28,374","https://en.wikipedia.org/wiki/Van_Buren_County,_Michigan"
1894,West Feliciana,Louisiana,"$21,720","$61,616","$75,613","15,522","4,007","https://en.wikipedia.org/wiki/West_Feliciana_Parish,_Louisiana"
1895,Box Elder,Utah,"$21,720","$57,292","$62,898","50,160","16,207","https://en.wikipedia.org/wiki/Box_Elder_County,_Utah"
1896,Brazos,Texas,"$21,720","$38,310","$58,863","197,642","70,239","https://en.wikipedia.org/wiki/Brazos_County,_Texas"
1897,Greenbrier,West Virginia,"$21,720","$37,895","$48,487","35,588","15,409","https://en.wikipedia.org/wiki/Greenbrier_County,_West_Virginia"
1898,Union,Illinois,"$21,719","$41,848","$48,879","17,722","6,852","https://en.wikipedia.org/wiki/Union_County,_Illinois"
1899,Lincoln,Montana,"$21,719","$33,333","$44,111","19,581","8,872","https://en.wikipedia.org/wiki/Lincoln_County,_Montana"
1900,Stanton,Kansas,"$21,712","$46,382","$50,948","2,210",775,"https://en.wikipedia.org/wiki/Stanton_County,_Kansas"
1901,Robertson,Texas,"$21,709","$40,601","$48,008","16,574","5,851","https://en.wikipedia.org/wiki/Robertson_County,_Texas"
1902,Grant,Wisconsin,"$21,705","$46,963","$58,869","51,080","19,420","https://en.wikipedia.org/wiki/Grant_County,_Wisconsin"
1903,Stewart,Tennessee,"$21,701","$39,781","$51,250","13,313","5,292","https://en.wikipedia.org/wiki/Stewart_County,_Tennessee"
1904,Cass,Indiana,"$21,700","$41,940","$50,753","38,802","14,827","https://en.wikipedia.org/wiki/Cass_County,_Indiana"
1905,Catoosa,Georgia,"$21,690","$47,087","$55,768","64,606","23,941","https://en.wikipedia.org/wiki/Catoosa_County,_Georgia"
1906,Dade,Georgia,"$21,690","$43,205","$50,830","16,580","6,325","https://en.wikipedia.org/wiki/Dade_County,_Georgia"
1907,Erath,Texas,"$21,670","$39,586","$52,201","38,744","14,383","https://en.wikipedia.org/wiki/Erath_County,_Texas"
1908,Stanislaus,California,"$21,663","$49,297","$55,432","518,321","166,883","https://en.wikipedia.org/wiki/Stanislaus_County,_California"
1909,McLennan,Texas,"$21,660","$41,922","$53,085","237,316","84,862","https://en.wikipedia.org/wiki/McLennan_County,_Texas"
1910,Floyd,Texas,"$21,655","$42,279","$54,696","6,371","2,457","https://en.wikipedia.org/wiki/Floyd_County,_Texas"
1911,Wetzel,West Virginia,"$21,653","$37,969","$49,622","16,435","6,903","https://en.wikipedia.org/wiki/Wetzel_County,_West_Virginia"
1912,Bradley,Tennessee,"$21,649","$41,083","$50,351","100,070","37,603","https://en.wikipedia.org/wiki/Bradley_County,_Tennessee"
1913,Pulaski,Indiana,"$21,641","$44,764","$53,822","13,253","5,058","https://en.wikipedia.org/wiki/Pulaski_County,_Indiana"
1914,Rusk,Texas,"$21,640","$45,752","$55,414","53,508","17,772","https://en.wikipedia.org/wiki/Rusk_County,_Texas"
1915,Lynn,Texas,"$21,639","$44,375","$49,308","5,841","2,179","https://en.wikipedia.org/wiki/Lynn_County,_Texas"
1916,Beaufort,North Carolina,"$21,636","$40,429","$49,574","47,575","19,266","https://en.wikipedia.org/wiki/Beaufort_County,_North_Carolina"
1917,Finney,Kansas,"$21,629","$47,945","$56,111","36,920","12,515","https://en.wikipedia.org/wiki/Finney_County,_Kansas"
1918,Juniata,Pennsylvania,"$21,628","$46,163","$54,701","24,737","9,248","https://en.wikipedia.org/wiki/Juniata_County,_Pennsylvania"
1919,Boone,West Virginia,"$21,627","$42,156","$54,315","24,517","9,559","https://en.wikipedia.org/wiki/Boone_County,_West_Virginia"
1920,Beltrami,Minnesota,"$21,622","$43,231","$53,549","45,021","16,781","https://en.wikipedia.org/wiki/Beltrami_County,_Minnesota"
1921,Lake and Peninsula,Alaska,"$21,616","$51,786","$53,828","1,454",508,"https://en.wikipedia.org/wiki/Lake_and_Peninsula_Borough,_Alaska"
1922,Hopkins,Texas,"$21,606","$43,657","$52,124","35,295","13,303","https://en.wikipedia.org/wiki/Hopkins_County,_Texas"
1923,DeKalb,Tennessee,"$21,606","$37,482","$44,208","18,875","7,037","https://en.wikipedia.org/wiki/DeKalb_County,_Tennessee"
1924,Appanoose,Iowa,"$21,599","$39,208","$51,142","12,808","5,534","https://en.wikipedia.org/wiki/Appanoose_County,_Iowa"
1925,Howard,Missouri,"$21,598","$42,747","$54,167","10,184","3,825","https://en.wikipedia.org/wiki/Howard_County,_Missouri"
1926,Avery,North Carolina,"$21,598","$36,969","$46,847","17,756","7,122","https://en.wikipedia.org/wiki/Avery_County,_North_Carolina"
1927,Saline,Illinois,"$21,596","$37,800","$47,023","24,950","10,174","https://en.wikipedia.org/wiki/Saline_County,_Illinois"
1928,Jefferson,Oregon,"$21,593","$43,373","$46,040","21,461","7,882","https://en.wikipedia.org/wiki/Jefferson_County,_Oregon"
1929,Randolph,Indiana,"$21,592","$40,904","$47,682","25,975","10,429","https://en.wikipedia.org/wiki/Randolph_County,_Indiana"
1930,Newberry,South Carolina,"$21,591","$41,718","$53,963","37,514","14,254","https://en.wikipedia.org/wiki/Newberry_County,_South_Carolina"
1931,Ontonagon,Michigan,"$21,585","$34,620","$44,986","6,584","3,269","https://en.wikipedia.org/wiki/Ontonagon_County,_Michigan"
1932,Pittsylvania,Virginia,"$21,583","$42,143","$52,071","63,077","26,092","https://en.wikipedia.org/wiki/Pittsylvania_County,_Virginia"
1933,Colusa,California,"$21,579","$52,158","$56,830","21,366","6,853","https://en.wikipedia.org/wiki/Colusa_County,_California"
1934,Franklin,New York,"$21,575","$45,667","$54,399","51,676","19,238","https://en.wikipedia.org/wiki/Franklin_County,_New_York"
1935,Columbiana,Ohio,"$21,575","$42,300","$53,267","107,078","42,095","https://en.wikipedia.org/wiki/Columbiana_County,_Ohio"
1936,Gaines,Texas,"$21,572","$52,910","$56,868","18,019","5,437","https://en.wikipedia.org/wiki/Gaines_County,_Texas"
1937,Colbert,Alabama,"$21,572","$39,077","$50,924","54,456","22,260","https://en.wikipedia.org/wiki/Colbert_County,_Alabama"
1938,Aroostook,Maine,"$21,566","$37,855","$50,779","71,230","30,597","https://en.wikipedia.org/wiki/Aroostook_County,_Maine"
1939,Wayne,North Carolina,"$21,557","$41,731","$51,391","123,382","47,330","https://en.wikipedia.org/wiki/Wayne_County,_North_Carolina"
1940,Adams,Idaho,"$21,555","$35,434","$42,978","3,937","1,707","https://en.wikipedia.org/wiki/Adams_County,_Idaho"
1941,Clinton,Indiana,"$21,554","$48,953","$57,960","33,086","11,745","https://en.wikipedia.org/wiki/Clinton_County,_Indiana"
1942,Johnson,Missouri,"$21,547","$47,223","$58,641","53,517","20,092","https://en.wikipedia.org/wiki/Johnson_County,_Missouri"
1943,Dickson,Tennessee,"$21,547","$44,318","$51,398","49,926","18,647","https://en.wikipedia.org/wiki/Dickson_County,_Tennessee"
1944,DeSoto,Louisiana,"$21,547","$39,162","$51,734","26,813","10,270","https://en.wikipedia.org/wiki/DeSoto_Parish,_Louisiana"
1945,Cumberland,Virginia,"$21,540","$40,557","$49,351","9,943","4,049","https://en.wikipedia.org/wiki/Cumberland_County,_Virginia"
1946,Lake,California,"$21,537","$36,548","$48,323","64,260","26,505","https://en.wikipedia.org/wiki/Lake_County,_California"
1947,Sedgwick,Colorado,"$21,536","$40,221","$53,500","2,376",943,"https://en.wikipedia.org/wiki/Sedgwick_County,_Colorado"
1948,Essex,Virginia,"$21,532","$44,885","$53,946","11,180","4,286","https://en.wikipedia.org/wiki/Essex_County,_Virginia"
1949,Burleson,Texas,"$21,529","$45,651","$56,139","17,201","6,258","https://en.wikipedia.org/wiki/Burleson_County,_Texas"
1950,Madison,Indiana,"$21,527","$43,120","$54,074","131,027","50,637","https://en.wikipedia.org/wiki/Madison_County,_Indiana"
1951,Jefferson,Indiana,"$21,524","$43,795","$52,922","32,449","12,668","https://en.wikipedia.org/wiki/Jefferson_County,_Indiana"
1952,Fayette,Illinois,"$21,523","$44,722","$52,735","22,088","8,124","https://en.wikipedia.org/wiki/Fayette_County,_Illinois"
1953,Lake,Montana,"$21,521","$38,019","$50,222","28,905","11,829","https://en.wikipedia.org/wiki/Lake_County,_Montana"
1954,Putnam,Indiana,"$21,520","$50,821","$59,037","37,799","12,414","https://en.wikipedia.org/wiki/Putnam_County,_Indiana"
1955,Cowley,Kansas,"$21,519","$41,878","$53,091","36,232","13,867","https://en.wikipedia.org/wiki/Cowley_County,_Kansas"
1956,Somerset,Maine,"$21,513","$38,642","$50,051","51,942","21,692","https://en.wikipedia.org/wiki/Somerset_County,_Maine"
1957,Linn,Oregon,"$21,500","$46,939","$55,169","117,648","44,722","https://en.wikipedia.org/wiki/Linn_County,_Oregon"
1958,Carlisle,Kentucky,"$21,500","$39,049","$47,667","5,064","2,034","https://en.wikipedia.org/wiki/Carlisle_County,_Kentucky"
1959,Loup,Nebraska,"$21,499","$38,125","$42,917",581,240,"https://en.wikipedia.org/wiki/Loup_County,_Nebraska"
1960,Iron,Michigan,"$21,499","$34,685","$46,502","11,723","5,289","https://en.wikipedia.org/wiki/Iron_County,_Michigan"
1961,Dillingham Census Area,Alaska,"$21,498","$54,150","$56,089","4,923","1,339","https://en.wikipedia.org/wiki/Dillingham_Census_Area,_Alaska"
1962,Craig,Virginia,"$21,498","$47,806","$58,750","5,199","2,122","https://en.wikipedia.org/wiki/Craig_County,_Virginia"
1963,Crawford,Michigan,"$21,492","$40,295","$50,114","14,017","5,781","https://en.wikipedia.org/wiki/Crawford_County,_Michigan"
1964,Calloway,Kentucky,"$21,490","$39,677","$56,752","37,383","14,937","https://en.wikipedia.org/wiki/Calloway_County,_Kentucky"
1965,Klamath,Oregon,"$21,489","$39,627","$48,896","66,211","27,378","https://en.wikipedia.org/wiki/Klamath_County,_Oregon"
1966,Monroe,Ohio,"$21,487","$40,573","$46,632","14,646","6,111","https://en.wikipedia.org/wiki/Monroe_County,_Ohio"
1967,Scott,Virginia,"$21,485","$38,355","$47,067","22,940","9,692","https://en.wikipedia.org/wiki/Scott_County,_Virginia"
1968,Newton,Georgia,"$21,484","$50,580","$56,113","100,808","33,840","https://en.wikipedia.org/wiki/Newton_County,_Georgia"
1969,McIntosh,Georgia,"$21,484","$39,068","$54,036","14,142","4,993","https://en.wikipedia.org/wiki/McIntosh_County,_Georgia"
1970,Caldwell,Missouri,"$21,482","$41,169","$53,186","9,249","3,743","https://en.wikipedia.org/wiki/Caldwell_County,_Missouri"
1971,Crawford,Ohio,"$21,478","$40,783","$49,718","43,348","17,655","https://en.wikipedia.org/wiki/Crawford_County,_Ohio"
1972,Carter,Oklahoma,"$21,476","$41,401","$52,415","47,904","17,411","https://en.wikipedia.org/wiki/Carter_County,_Oklahoma"
1973,Sherman,Kansas,"$21,476","$38,634","$46,154","6,063","2,727","https://en.wikipedia.org/wiki/Sherman_County,_Kansas"
1974,Clay,Indiana,"$21,474","$46,430","$57,826","26,865","10,230","https://en.wikipedia.org/wiki/Clay_County,_Indiana"
1975,Washington County,Utah,"$21,472","$49,279","$55,881","141,902","46,826","https://en.wikipedia.org/wiki/Washington_County,_Utah"
1976,Lamar,Texas,"$21,468","$40,104","$50,524","49,751","19,416","https://en.wikipedia.org/wiki/Lamar_County,_Texas"
1977,Northwest Arctic,Alaska,"$21,461","$61,607","$57,866","7,624","1,828","https://en.wikipedia.org/wiki/Northwest_Arctic_Borough,_Alaska"
1978,Preston,West Virginia,"$21,457","$45,413","$52,128","33,666","12,697","https://en.wikipedia.org/wiki/Preston_County,_West_Virginia"
1979,Cotton,Oklahoma,"$21,452","$46,317","$56,721","6,166","2,345","https://en.wikipedia.org/wiki/Cotton_County,_Oklahoma"
1980,Lee,North Carolina,"$21,449","$44,819","$55,582","58,735","21,204","https://en.wikipedia.org/wiki/Lee_County,_North_Carolina"
1981,Logan,Illinois,"$21,445","$47,133","$62,765","30,177","10,963","https://en.wikipedia.org/wiki/Logan_County,_Illinois"
1982,Troup,Georgia,"$21,443","$41,161","$50,076","67,776","24,441","https://en.wikipedia.org/wiki/Troup_County,_Georgia"
1983,Red River,Louisiana,"$21,443","$39,346","$46,024","9,028","3,320","https://en.wikipedia.org/wiki/Red_River_Parish,_Louisiana"
1984,Oxford,Maine,"$21,441","$40,674","$49,920","57,657","22,890","https://en.wikipedia.org/wiki/Oxford_County,_Maine"
1985,Lynchburg City,Virginia,"$21,440","$38,138","$50,676","76,467","28,556","https://en.wikipedia.org/wiki/Lynchburg,_Virginia"
1986,Tallapoosa,Alabama,"$21,434","$39,130","$46,839","41,428","16,373","https://en.wikipedia.org/wiki/Tallapoosa_County,_Alabama"
1987,Harrison,Kentucky,"$21,424","$36,048","$51,177","18,693","7,179","https://en.wikipedia.org/wiki/Harrison_County,_Kentucky"
1988,Webster,Nebraska,"$21,423","$41,045","$49,968","3,762","1,548","https://en.wikipedia.org/wiki/Webster_County,_Nebraska"
1989,Daviess,Indiana,"$21,416","$47,165","$56,684","31,928","11,160","https://en.wikipedia.org/wiki/Daviess_County,_Indiana"
1990,Pine,Minnesota,"$21,413","$43,928","$53,869","29,449","11,758","https://en.wikipedia.org/wiki/Pine_County,_Minnesota"
1991,Hernando,Florida,"$21,411","$41,024","$48,461","173,119","70,210","https://en.wikipedia.org/wiki/Hernando_County,_Florida"
1992,Geary,Kansas,"$21,408","$46,908","$51,712","35,583","12,532","https://en.wikipedia.org/wiki/Geary_County,_Kansas"
1993,Mitchell,North Carolina,"$21,404","$37,680","$46,432","15,453","6,455","https://en.wikipedia.org/wiki/Mitchell_County,_North_Carolina"
1994,Franklin,North Carolina,"$21,399","$41,696","$51,353","61,154","23,313","https://en.wikipedia.org/wiki/Franklin_County,_North_Carolina"
1995,Marion,Tennessee,"$21,399","$41,268","$49,631","28,214","11,226","https://en.wikipedia.org/wiki/Marion_County,_Tennessee"
1996,Vernon,Louisiana,"$21,396","$46,572","$51,718","52,510","18,148","https://en.wikipedia.org/wiki/Vernon_Parish,_Louisiana"
1997,Yoakum,Texas,"$21,389","$49,340","$55,545","7,998","2,654","https://en.wikipedia.org/wiki/Yoakum_County,_Texas"
1998,Lafayette,Mississippi,"$21,388","$43,328","$59,882","48,905","15,743","https://en.wikipedia.org/wiki/Lafayette_County,_Mississippi"
1999,Colfax,New Mexico,"$21,387","$37,734","$47,100","13,485","5,574","https://en.wikipedia.org/wiki/Colfax_County,_New_Mexico"
2000,Barrow,Georgia,"$21,379","$53,274","$58,892","69,933","23,413","https://en.wikipedia.org/wiki/Barrow_County,_Georgia"
2001,Hill,Montana,"$21,376","$43,726","$55,617","16,301","6,139","https://en.wikipedia.org/wiki/Hill_County,_Montana"
2002,Crittenden,Kentucky,"$21,375","$34,261","$48,083","9,283","3,794","https://en.wikipedia.org/wiki/Crittenden_County,_Kentucky"
2003,Washington County,Indiana,"$21,370","$41,986","$50,107","28,064","10,631","https://en.wikipedia.org/wiki/Washington_County,_Indiana"
2004,Van Buren,Iowa,"$21,368","$43,181","$54,591","7,517","3,023","https://en.wikipedia.org/wiki/Van_Buren_County,_Iowa"
2005,Lawrence,Ohio,"$21,365","$41,552","$53,015","62,309","24,009","https://en.wikipedia.org/wiki/Lawrence_County,_Ohio"
2006,Tazewell,Virginia,"$21,358","$35,693","$45,080","44,664","18,294","https://en.wikipedia.org/wiki/Tazewell_County,_Virginia"
2007,Williams,Ohio,"$21,350","$43,089","$52,347","37,623","14,947","https://en.wikipedia.org/wiki/Williams_County,_Ohio"
2008,Lauderdale,Mississippi,"$21,346","$36,203","$46,954","80,337","29,809","https://en.wikipedia.org/wiki/Lauderdale_County,_Mississippi"
2009,Pike,Illinois,"$21,344","$39,845","$49,542","16,337","6,708","https://en.wikipedia.org/wiki/Pike_County,_Illinois"
2010,Crenshaw,Alabama,"$21,343","$36,275","$48,903","13,955","5,601","https://en.wikipedia.org/wiki/Crenshaw_County,_Alabama"
2011,Garrard,Kentucky,"$21,341","$44,652","$55,105","16,896","6,302","https://en.wikipedia.org/wiki/Garrard_County,_Kentucky"
2012,St. John the Baptist,Louisiana,"$21,335","$50,635","$56,540","45,139","15,440","https://en.wikipedia.org/wiki/St._John_the_Baptist_Parish,_Louisiana"
2013,Baxter,Arkansas,"$21,334","$35,343","$45,499","41,281","18,155","https://en.wikipedia.org/wiki/Baxter_County,_Arkansas"
2014,Taos,New Mexico,"$21,333","$32,637","$44,541","32,899","13,338","https://en.wikipedia.org/wiki/Taos_County,_New_Mexico"
2015,San Bernardino,California,"$21,332","$54,090","$59,294","2,056,915","603,879","https://en.wikipedia.org/wiki/San_Bernardino_County,_California"
2016,Montgomery,Kansas,"$21,332","$39,669","$52,583","34,869","14,000","https://en.wikipedia.org/wiki/Montgomery_County,_Kansas"
2017,Bannock,Idaho,"$21,327","$43,534","$57,079","83,091","30,271","https://en.wikipedia.org/wiki/Bannock_County,_Idaho"
2018,Owen,Indiana,"$21,318","$43,950","$51,503","21,467","8,552","https://en.wikipedia.org/wiki/Owen_County,_Indiana"
2019,Gilmer,Georgia,"$21,317","$39,140","$44,624","28,308","11,513","https://en.wikipedia.org/wiki/Gilmer_County,_Georgia"
2020,St. Mary,Louisiana,"$21,313","$41,571","$48,754","54,078","20,092","https://en.wikipedia.org/wiki/St._Mary_Parish,_Louisiana"
2021,Pleasants,West Virginia,"$21,312","$41,859","$57,604","7,602","2,747","https://en.wikipedia.org/wiki/Pleasants_County,_West_Virginia"
2022,Stokes,North Carolina,"$21,311","$42,703","$50,910","47,063","18,969","https://en.wikipedia.org/wiki/Stokes_County,_North_Carolina"
2023,Ross,Ohio,"$21,310","$43,264","$52,836","77,802","28,308","https://en.wikipedia.org/wiki/Ross_County,_Ohio"
2024,Jefferson,Pennsylvania,"$21,300","$41,262","$51,451","45,015","18,503","https://en.wikipedia.org/wiki/Jefferson_County,_Pennsylvania"
2025,Jasper,Georgia,"$21,297","$42,192","$49,194","13,748","5,132","https://en.wikipedia.org/wiki/Jasper_County,_Georgia"
